X	Y	occurrencedate	premisetype	occurrencedayofweek	occurrencehour	Division	Neighbourhood
-79.3746338	43.6902046	2016-04-15T04:00:00.000Z	House	Friday    	18	D53	Rosedale-Moore Park (98)
-79.5595551	43.624073	2016-04-20T04:00:00.000Z	Outside	Wednesday 	18	D22	Islington-City Centre West (14)
-79.5495377	43.7276535	2016-04-20T04:00:00.000Z	Outside	Wednesday 	1	D23	Elms-Old Rexdale (5)
-79.5227661	43.6932526	2016-04-21T04:00:00.000Z	House	Thursday  	21	D23	Humber Heights-Westmount (8)
-79.5227661	43.6932526	2016-04-21T04:00:00.000Z	House	Thursday  	21	D23	Humber Heights-Westmount (8)
-79.5626755	43.6123085	2016-04-23T04:00:00.000Z	Outside	Saturday  	21	D22	Islington-City Centre West (14)
-79.4513321	43.7836876	2016-04-21T04:00:00.000Z	House	Thursday  	0	D32	Westminster-Branson (35)
-79.5240707	43.7242126	2015-11-10T05:00:00.000Z	Outside	Tuesday   	15	D31	Downsview-Roding-CFB (26)
-79.5132065	43.7255173	2016-01-28T05:00:00.000Z	Outside	Thursday  	20	D31	Downsview-Roding-CFB (26)
-79.3288803	43.8061295	2016-03-13T05:00:00.000Z	House	Sunday    	23	D42	Steeles (116)
-79.3538818	43.7793694	2016-04-29T04:00:00.000Z	Outside	Friday    	15	D33	Don Valley Village (47)
-79.5051422	43.6569328	2016-05-04T04:00:00.000Z	House	Wednesday 	19	D22	Kingsway South (15)
-79.5495529	43.7598152	2016-04-08T04:00:00.000Z	Commercial	Friday    	16	D31	Humber Summit (21)
-79.3413162	43.8156548	2016-04-06T04:00:00.000Z	Commercial	Wednesday 	18	D33	Steeles (116)
-79.5596924	43.7133217	2015-03-17T04:00:00.000Z	Outside	Tuesday   	21	D23	Rexdale-Kipling (4)
-79.5819321	43.6825752	2015-04-04T04:00:00.000Z	Outside	Saturday  	22	D23	West Humber-Clairville (1)
-79.4504242	43.7819443	2016-03-31T04:00:00.000Z	Outside	Thursday  	0	D32	Westminster-Branson (35)
-79.350441	43.7936325	2016-05-09T04:00:00.000Z	Outside	Monday    	23	D33	Hillcrest Village (48)
-79.4873352	43.7604256	2016-05-08T04:00:00.000Z	Outside	Sunday    	15	D31	York University Heights (27)
-79.5327301	43.6801643	2016-05-09T04:00:00.000Z	Other	Monday    	21	D22	Edenbridge-Humber Valley (9)
-79.2810745	43.7658043	2016-05-09T04:00:00.000Z	Outside	Monday    	16	D41	Dorset Park (126)
-79.1933441	43.785347	2016-05-11T04:00:00.000Z	Outside	Wednesday 	19	D43	Highland Creek (134)
-79.3695984	43.7606087	2016-05-12T04:00:00.000Z	House	Thursday  	22	D33	St.Andrew-Windfields (40)
